Station Code,Station Name,District,Latitude,Longitude,Year,Month,Day,RF in mm
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,2,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,3,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,4,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,5,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,6,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,7,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,8,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,9,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,10,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,11,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,12,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,13,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,14,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,15,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,16,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,17,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,18,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,19,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,20,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,21,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,22,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,23,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,24,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,25,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,26,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,27,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,28,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,29,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,30,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,5,31,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,1,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,2,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,3,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,4,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,5,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,6,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,7,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,8,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,9,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,10,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,11,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,12,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,13,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,14,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,15,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,16,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,17,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,18,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,19,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,20,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,21,4.80
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,22,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,23,5.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,24,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,25,19.60
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,26,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,27,39.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,28,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,29,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,6,30,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,1,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,2,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,3,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,4,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,5,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,6,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,7,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,8,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,9,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,10,10.20
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,11,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,12,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,13,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,14,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,15,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,16,25.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,17,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,18,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,19,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,20,3.80
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,21,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,22,2.60
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,23,2.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,24,14.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,25,41.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,26,15.40
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,27,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,28,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,29,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,30,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,7,31,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,1,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,2,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,3,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,4,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,5,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,6,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,7,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,8,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,9,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,10,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,11,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,12,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,13,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,14,0.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,15,19.00
CHEMBARMPAKM,Chembarambakkam               ,Kancheepuram,"13°00'30""","80°05'05""",2019,8,16,2.00
